match_id,name,slug,gender,user_count,residence,birthplace,height,weight,plays,turned_pro,current_prize,total_prize,player_id,current_rank,name_code,country,full_name
11698042,Zarazúa R.,zarazua-renata,F,1266,,"Mexico City, Mexico",1.6,,right-handed,2014,82995,526619,111189,105,ZAR,Mexico,"Zarazúa, Renata"
11698055,Ma Y.,ma-yexin,F,443,,,,,,,34392,89793,190950,218,YEX,China,"Ma, Yexin"
11698365,Poulos A.,poulos-annerly,F,71,,,,,,,0,3186,244853,1335,POU,Australia,"Poulos, Annerly"
11698367,Marinkov P.,marinkov-pavle,M,102,,Sydney,1.88,,,,3047,4025,388080,1104,MAR,Australia,"Marinkov, Pavle"
11698377,Chikaraishi Y.,chikaraishi-yui,F,59,,,,,,,1986,11853,197532,1211,CHI,Japan,"Chikaraishi, Yui"
11698379,Safwat M.,safwat-mohamed,M,747,"Cairo, Egypt","Mansoura, Egypt",1.8,83,right-handed,2009,23083,735583,42029,358,SAF,Egypt,"Safwat, Mohamed"
11698395,Boulter K.,boulter-katie,F,2891,,"Leicester, England",1.82,,right-handed,2013,489770,1455524,62924,56,BOU,United Kingdom,"Boulter, Katie"
11698397,Andreeva M.,andreeva-mirra,F,6621,,,1.71,,right-handed,,625398,646907,406776,57,AND,Russia,"Andreeva, Mirra"
11698398,Ostapenko J.,ostapenko-jelena,F,8314,"Riga, Latvia","Riga, Latvia",1.77,68,right-handed,2012,1798842,11611607,64496,13,OST,Latvia,"Ostapenko, Jelena"
11698399,Jabeur O.,jabeur-ons,F,29294,"Tunis, Tunisia","Ksar El Hellar, Tunisia",1.67,67,right-handed,2010,2662137,10316089,55401,6,JAB,Tunisia,"Jabeur, Ons"
11698400,Putintseva Y.,putintseva-yulia,F,2576,"Moscow, Russia","Moscow, Russia",1.63,59,right-handed,2010,608483,5754558,45545,66,PUT,Kazakhstan,"Putintseva, Yulia"
11698401,Garcia C.,garcia-caroline,F,11006,"Lyon, France","Saint-Germain-en-Laye, France",1.77,61,right-handed,2011,1555913,14109363,42339,20,GAR,France,"Garcia, Caroline"
11698402,Stearns P.,stearns-peyton,F,1425,,"Cincinnati, Ohio",1.73,,right-handed,,682638,840994,261095,49,STE,USA,"Stearns, Peyton"
11698403,Kužmova K.,kuzmova-katarina,F,334,,,,,,,21168,48841,205282,517,KUZ,Slovakia,"Kuzmova, Katarina"
11698476,Gaubas V.,gaubas-vilius,M,491,,Siauliai,1.78,,,,20193,29334,322022,370,GAU,Lithuania,"Gaubas, Vilius"
11698477,Martynov D.,martynov-diana,F,172,,,,,,,9583,22779,288575,634,MAR,France,"Martynov, Diana"
11698544,Tabur C.,tabur-clement,M,566,Angers,REIMS,1.73,70,right-handed,,37471,119397,206602,233,TAB,France,"Tabur, Clement"
11698550,Paulson A.,paulson-andrew,M,443,,Prague,1.91,,right-handed,,25426,96129,275467,316,PAU,Czech Republic,"Paulson, Andrew"
11698683,Privara  P.,privara-peter-benjamin,M,169,,Bratislava,1.88,,,,9579,19305,341952,725,PRI,Slovakia,"Privara , Peter Benjamin"
11698735,Bartunkova N.,bartunkova-nikola,F,668,,,,,right-handed,,21424,60693,348987,294,BAR,Czech Republic,"Bartunkova, Nikola"
