match_id,period,statistic_category_name,statistic_name,home_stat,away_stat,compare_code,statistic_type,value_type,home_value,away_value,home_total,away_total
11674112,ALL,service,second_serve_points,17/33 (52%),11/26 (42%),1,positive,team,17,11,33.0,26.0
11674112,ALL,service,service_games_played,10,9,1,positive,event,10,9,,
11674112,ALL,service,break_points_saved,8/10 (80%),0/4 (0%),1,positive,team,8,0,10.0,4.0
11674112,ALL,points,total,73,59,1,positive,event,73,59,,
11674112,ALL,points,service_points_won,45,33,1,positive,event,45,33,,
11674112,ALL,points,receiver_points_won,28,26,1,positive,event,28,26,,
11674112,ALL,points,max_points_in_a_row,11,6,1,positive,event,11,6,,
11674112,ALL,games,total_won,13,7,1,positive,event,13,7,,
11674112,ALL,games,service_games_won,8,5,1,positive,event,8,5,,
11674112,ALL,games,max_games_in_a_row,5,2,1,positive,event,5,2,,
11674112,ALL,return,first_serve_return_points,14/36 (38%),10/38 (26%),1,positive,team,14,10,36.0,38.0
11674112,ALL,return,second_serve_return_points,15/26 (57%),16/33 (48%),1,positive,team,15,16,26.0,33.0
11674112,ALL,return,return_games_played,9,10,2,positive,event,9,10,,
11674112,ALL,return,break_points_converted,4,2,1,positive,event,4,2,,
11674112,ALL,miscellaneous,tiebreaks,1,0,1,positive,event,1,0,,
11674112,1ST,service,aces,2,0,1,positive,event,2,0,,
11674112,1ST,service,double_faults,1,0,1,negative,event,1,0,,
11674112,1ST,service,first_serve,10/19 (53%),10/18 (56%),2,positive,team,10,10,19.0,18.0
11674112,1ST,service,second_serve,8/9 (89%),8/8 (100%),2,positive,team,8,8,9.0,8.0
11674112,1ST,service,first_serve_points,9/10 (90%),4/10 (40%),1,positive,team,9,4,10.0,10.0
11674112,1ST,service,second_serve_points,7/9 (78%),4/8 (50%),1,positive,team,7,4,9.0,8.0
11674112,1ST,service,service_games_played,4,3,1,positive,event,4,3,,
11674112,1ST,service,break_points_saved,0/0 (0%),0/2 (0%),3,positive,team,0,0,0.0,2.0
11674112,1ST,points,service_points_won,16,8,1,positive,event,16,8,,
11674112,1ST,points,receiver_points_won,10,3,1,positive,event,10,3,,
11674112,1ST,points,max_points_in_a_row,11,4,1,positive,event,11,4,,
11674112,1ST,games,max_games_in_a_row,5,1,1,positive,event,5,1,,
11674112,1ST,return,first_serve_return_points,6/10 (60%),1/10 (10%),1,positive,team,6,1,10.0,10.0
11674112,1ST,return,second_serve_return_points,4/8 (50%),2/9 (22%),1,positive,team,4,2,8.0,9.0
11674112,1ST,return,return_games_played,3,4,2,positive,event,3,4,,
11674112,1ST,return,break_points_converted,2,0,1,positive,event,2,0,,
11674112,1ST,miscellaneous,tiebreaks,0,0,3,positive,event,0,0,,
11674112,2ND,service,aces,1,3,2,positive,event,1,3,,
11674112,2ND,service,double_faults,4,0,1,negative,event,4,0,,
11674112,2ND,service,first_serve,28/52 (54%),26/43 (60%),2,positive,team,28,26,52.0,43.0
11674112,2ND,service,second_serve,20/24 (83%),17/17 (100%),2,positive,team,20,17,24.0,17.0
11674112,2ND,service,first_serve_points,19/28 (68%),18/26 (69%),2,positive,team,19,18,28.0,26.0
11674112,2ND,service,second_serve_points,10/24 (42%),7/17 (41%),1,positive,team,10,7,24.0,17.0
11674112,2ND,service,service_games_played,6,6,3,positive,event,6,6,,
11674112,2ND,service,break_points_saved,8/10 (80%),0/2 (0%),1,positive,team,8,0,10.0,2.0
11674112,2ND,points,service_points_won,29,25,1,positive,event,29,25,,
