match_id,period_1,period_2,period_3,period_4,period_5,current_period_start_timestamp
11701540,2396,1888,,,,1696233195
11701541,2093,2345,,,,1696232831
11701542,2742,2447,1132,,,1696252662
11701543,1892,3570,,,,1696240915
11701544,1295,1558,,,,1696237414
11701555,3078,2401,,,,1696237066
11701556,2083,1866,,,,1696241451
11701557,1771,1540,,,,1696242418
11701558,2431,1818,,,,1696236864
11701559,3152,1958,776,,,1696239095
11701561,4025,3492,,,,1696250773
11701562,2887,2009,796,,,1696254801
11701563,2629,2035,998,,,1696256851
11701565,3092,1425,,,,1696246073
11701605,2732,2703,,,,1696247079
11701606,2670,4207,,,,1696242107
11701607,4245,3196,1186,,,1696241516
11701608,2737,2384,,,,1696244182
11701609,3326,2528,,,,1696245058
11701610,2927,3574,,,,1696243209
11701611,3203,2794,,,,1696237281
11701612,,,,,,1696242151
11701613,2800,2425,,,,1696236841
